"id";"subject_id";"hierarchy_level";"School Code";"Tests Taken";"Score=1";"Score=2";"Score=3";"Score=4";"Score=5";"% Score 1-2";"% Score 3-5"
32;0;0;8060605;62;3;14;24;16;5;27.4;72.6
33;0;0;350541;118;97;14;3;4;0;94.1;5.9
34;0;0;350546;34;28;4;2;0;0;94.1;5.9
36;0;0;350558;120;59;40;21;0;0;82.5;17.5
37;0;0;350507;30;18;7;4;1;0;83.3;16.7
38;0;0;350545;1107;198;330;332;160;87;47.7;52.3
39;0;0;350560;2341;111;259;585;709;677;15.8;84.2
40;0;0;350505;70;40;11;5;3;11;72.9;27.1
41;0;0;350525;68;59;5;4;0;0;94.1;5.9
42;0;0;350515;93;64;16;12;1;0;86.0;14.0
43;0;0;350581;47;28;12;6;0;1;85.1;14.9
44;0;0;350074;36;26;10;0;0;0;100.0;0.0
45;0;0;350530;88;56;18;5;4;5;84.1;15.9
46;0;0;350535;82;58;17;4;2;1;91.5;8.5
47;0;0;350522;94;48;28;12;5;1;80.9;19.1
48;0;0;350540;35;11;6;11;5;2;48.6;51.4
49;0;0;350426;86;49;27;6;3;1;88.4;11.6
51;0;0;350655;26;17;6;2;1;0;88.5;11.5
52;0;0;350537;31;15;15;1;0;0;96.8;3.2
53;0;0;350549;42;5;9;22;1;5;33.3;66.7
54;0;0;350542;192;122;45;16;4;5;87.0;13.0
55;0;0;350575;1288;279;421;351;162;75;54.3;45.7
57;0;0;350657;112;28;47;27;10;0;67.0;33.0
58;0;0;4490305;223;91;65;42;18;7;70.0;30.0
59;0;0;4110305;71;47;17;6;1;0;90.1;9.9
60;0;0;4160305;175;90;54;24;2;5;82.3;17.7
61;0;0;360505;128;47;33;24;17;7;62.5;37.5
62;0;0;400505;771;25;102;192;235;217;16.5;83.5
63;0;0;6250505;440;77;112;123;80;48;43.0;57.0
64;0;0;9100705;81;7;19;31;20;4;32.1;67.9
65;0;0;8100605;61;24;21;5;11;0;73.8;26.2
66;0;0;440505;407;124;144;99;32;8;65.8;34.2
67;0;0;4280305;597;262;181;92;44;18;74.2;25.8
