ID;Subject_ID;Hierarchy_Level;School Code;Tests Taken;Score=1;Score=2;Score=3;Score=4;Score=5;% Score 1-2;% Score 3-5
1;0;0;00010505;     164;      40;      49;      51;      21;       3;  54,3;  45,7
2;0;0;04120530;     154;     120;      25;       5;       3;       1;  94,2;   5,8
3;0;0;06000505;   1442;      22;      79;     229;     473;     639;   7,0;  93,0
4;0;0;04300305;     387;      17;      51;      87;     118;     114;  17,6;  82,4
5;0;0;00050505;     423;      60;     104;     140;      82;      37;  38,8;  61,2
6;0;0;00070505;     100;       4;      12;      31;      27;      26;  16,0;  84,0
7;0;0;06050505;     224;       7;      29;      58;      79;      51;  16,1;  83,9
8;0;0;00090505;   1173;      55;     167;     281;     378;     292;  18,9;  81,1
9;0;0;00100505;   1408;      94;     215;     379;     397;     323;  21,9;  78,1
10;0;0;06100505;     195;      21;      58;      62;      35;      19;  40,5;  59,5
11;0;0;00140505;     436;      10;      25;      78;     146;     177;   8,0;  92,0
12;0;0;08010605;     110;      32;      37;      31;       9;       1;  62,7;  37,3
13;0;0;06150505;      99;      56;      13;      18;       9;       3;  69,7;  30,3
14;0;0;04910550;     116;      67;      31;      14;       4;       0;  84,5;  15,5
15;0;0;00160505;     646;     187;     181;     152;      99;      27;  57,0;  43,0
16;0;0;00170505;     352;      70;     106;     109;      43;      24;  50,0;  50,0
17;0;0;00180510;      23;       3;       9;       6;       5;       0;  52,2;  47,8
18;0;0;06160505;     118;      12;      28;      33;      35;      10;  33,9;  66,1
19;0;0;00200505;     565;     146;     176;     125;      85;      33;  57,0;  43,0
20;0;0;35020405;      22;      14;       6;       1;       1;       0;  90,9;   9,1
21;0;0;00230505;     478;      13;      40;      88;     139;     198;  11,1;  88,9
22;0;0;00240505;     111;       6;      31;      32;      24;      18;  33,3;  66,7
23;0;0;00250505;     163;      45;      46;      43;      23;       6;  55,8;  44,2
24;0;0;00260505;   1391;      16;      88;     232;     448;     607;   7,5;  92,5
25;0;0;04140305;      28;       5;       3;      12;       7;       1;  28,6;  71,4
26;0;0;06180505;      90;       5;      21;      24;      17;      23;  28,9;  71,1
27;0;0;06200505;     144;      11;      36;      60;      22;      15;  32,6;  67,4
28;0;0;00300505;     456;      67;     101;     135;      98;      55;  36,8;  63,2
29;0;0;00310505;     599;     127;     145;     163;     102;      62;  45,4;  54,6
30;0;0;08050605;     374;      82;     110;      89;      68;      25;  51,3;  48,7
